_id,Neighborhood,Sector #,Population (2010),Land Area (acres),Residential,Mixed Use / Commercial,Mixed Use / Industrial,Institutional / Edu. / Med.,Open Space,Hillside,Special Land Use
1,Allegheny Center,3,933,134.400000000000005684341886080801486968994140625,0.00010456777768200000463920396054362527138437144458293914794921875,0.4939840236717090160567522616474889218807220458984375,0,0,0.50591140855060900971551518523483537137508392333984375,0,0
2,Allegheny West,3,462,90.2399999999999948840923025272786617279052734375,0.420735727516840019024613184228655882179737091064453125,0.1253137234591689963547622710393625311553478240966796875,0.06298396875371399528109606080761295743286609649658203125,0.26446569134218800289914952372782863676548004150390625,0.126491736117248010362601462475140579044818878173828125,0,0.000009152810840999999681994077349589389314132858999073505401611328125
3,Allentown,6,2500,188.80000000000001136868377216160297393798828125,0.54574244942402294622496583542670123279094696044921875,0.0931713170906469934084981332489405758678913116455078125,0,0,0.1854059333286310062849366886439383961260318756103515625,0.1756724354513340136119126100311405025422573089599609375,0
4,Arlington,7,1869,300.80000000000001136868377216160297393798828125,0.436788418608915984808760413216077722609043121337890625,0.037948167868870001651071532933201524429023265838623046875,0.10882959078548799791708034945258987136185169219970703125,0,0.41643292478519200461306581928511150181293487548828125,0,0
5,Arlington Heights,7,244,84.4800000000000039790393202565610408782958984375,0.5654905339713669487622382803237996995449066162109375,0.000006581280018000000138988191122901838525649509392678737640380859375,0.000078295399083999999670542557783647907854174263775348663330078125,0,0.4344239751271630201046036745538003742694854736328125,0.0000006142223690000000208908249692274505804334694403223693370819091796875,0
6,Banksville,5,4144,620.1599999999999681676854379475116729736328125,0.7200375758505439538481596173369325697422027587890625,0.07807393420664200667236087838318780995905399322509765625,0.049299613090527001635354764630392310209572315216064453125,0,0.152136020117891013203603733927593566477298736572265625,0.0004438311495349999964525611328980403413879685103893280029296875,0.000009025584861000000491877172381638416709392913617193698883056640625
7,Bedford Dwellings,15,1202,114.56000000000000227373675443232059478759765625,0.59478681135557398551583219159510917961597442626953125,0.000340906947424000016620693198632352505228482186794281005859375,0.0268148787614479987284621387289007543586194515228271484375,0,0.375887946013060025851615364445024169981479644775390625,0.0021694569224930001193063500153357381350360810756683349609375,0
8,Beechview,5,7974,934.3999999999999772626324556767940521240234375,0.56449174758201403623303349377238191664218902587890625,0.04436267935486899738339872101278160698711872100830078125,0.01304816459467099919178334488378823152743279933929443359375,0,0.0235758576032439985670219328994789975695312023162841796875,0.35452155086520098503655162858194671571254730224609375,0
9,Beltzhoover,6,1925,269.43999999999999772626324556767940521240234375,0.64656131854945397829936837297282181680202484130859375,0.02707897298044099898550740590508212335407733917236328125,0.01331737052360999935818330897063788142986595630645751953125,0,0.200208039857734998445693008761736564338207244873046875,0.11283429808876099809111792637850157916545867919921875,0
10,Bloomfield,12,8442,449.279999999999972715158946812152862548828125,0.581179831545671987669265945442020893096923828125,0.258249943225828004766952972204308025538921356201171875,0.0689346459504260045125789702069596387445926666259765625,0.036125051271860997292861839014221914112567901611328125,0.016573873732971998451457551482235430739820003509521484375,0.03893665427324000116726665510213933885097503662109375,0
