,_id,PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
304708,322851,3360695,23000967.0,1,2023-01-02T18:22:00,"Shetland ST & Winfield ST Pittsburgh, PA 15206",N,Larimer,5,MURDER/NON-NEG/MANSLTR-GUN,2501 Criminal Homicide.,1204.0,9.0,2.0,-79.90979158656457,40.464017895358616
304878,323021,3361089,23002629.0,1,2023-01-05T20:42:00,"2100 Block Arlington AV Pittsburgh, PA 15210",N,South Side Slopes,3,MURDER/NON-NEG/MANSLTR-KNIFE,2501 Criminal Homicide.,1608.0,3.0,3.0,-79.9772868505758,40.41768085110356
305744,323887,3363422,23003909.0,1,2023-01-08T06:36:00,"1900 Block Concordia ST Pittsburgh, PA 15210",N,Carrick,3,MURDER/NON-NEG/MANSLTR-GUN,2501 Criminal Homicide.,2902.0,4.0,3.0,-79.9865396885719,40.39668368335552
306277,324420,3364820,23011525.0,1,2023-01-22T18:18:00,"2100 Block Bedford AV Pittsburgh, PA 15219",N,Middle Hill,2,MURDER/NON-NEG/MANSLTR-GUN,2501 Criminal Homicide.,501.0,6.0,3.0,-79.98068573985466,40.44705788422061
306913,325056,3366155,23000271.0,10,2023-01-01T05:12:00,"2100 Block Whited ST Pittsburgh, PA 15210",Y,Brookline,6,TERRORISTIC THREATS,901 Criminal Attempt / 907 Possessing Instruments of Crime. / 2706 Terroristic Threats. / 5503 Disorderly Conduct. / 5506 Loitering and Prowling at Night,3206.0,4.0,5.0,-80.00288399656148,40.39629856891373
306915,325058,3366164,23000286.0,10,2023-01-01T05:16:00,"Regina ST Pittsburgh, PA 15203",Y,South Side Slopes,3,SIMPLE ASSAULT/INJURY,2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,1706.0,3.0,3.0,-79.98552909973948,40.42292468523916
306922,325065,3366179,23000327.0,10,2023-01-01T06:42:00,"600 Block Ennis ST Pittsburgh, PA 15211",N,Mount Washington,3,TERRORISTIC THREATS,2706 Terroristic Threats. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,1914.0,,,,
306951,325094,3366250,23009759.0,1,2023-01-19T14:18:00,"700 Block Liberty AV Pittsburgh, PA 15222",Y,Central Business District,2,MURDER/NON-NEG/MANSLTR-GUN,2501 Criminal Homicide.,201.0,6.0,6.0,-79.99985637433716,40.44244574595663
306952,325095,3366263,23013253.0,1,2023-01-26T09:19:00,"Bond ST & Herrod ST Pittsburgh, PA 15220",N,Elliott,6,MURDER/NON-NEG/MANSLTR-GUN,2501 Criminal Homicide.,2020.0,2.0,5.0,-80.04017274442555,40.44843368493047
306979,325122,3366330,23000050.0,10,2023-01-01T00:42:00,"S 24th ST & E Carson ST Pittsburgh, PA 15203",N,South Side Flats,3,HARRASSMENT/THREAT/ATTEMPT/PHY,2706 Terroristic Threats. / 2709(a) Harassment. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,1609.0,3.0,3.0,-79.97117078559786,40.42821920070797
306982,325125,3366334,23000129.0,10,2023-01-01T01:19:00,"S Negley AV & 5th AV Pittsburgh, PA 15232",Y,Squirrel Hill North,4,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,1402.0,8.0,3.0,-79.92964956751787,40.44983504519785
306990,325133,3366345,23000161.0,10,2023-01-01T02:00:00,"S 12th ST & Sarah ST Pittsburgh, PA 15203",Y,South Side Flats,3,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,1702.0,3.0,3.0,-79.98636234570994,40.42774629510358
306993,325136,3366350,23000213.0,10,2023-01-01T02:50:00,"700 Block Mt Pleasant RD Pittsburgh, PA 15214",N,Northview Heights,1,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,2609.0,1.0,1.0,-79.99824125898348,40.47599977002789
306994,325137,3366352,23000222.0,10,2023-01-01T03:37:00,"400 Block Suncrest ST Pittsburgh, PA 15210",Y,Knoxville,3,SIMPLE ASSAULT/INJURY,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,3001.0,3.0,5.0,-79.99499234867257,40.41118950721099
